wikipedia_article,location
http://en.wikipedia.org/wiki/%22El%20mono%20Hern%C3%A1ndez%22%20Cork%20Forest%20Flora%20and%20Fauna%20Sanctuary,2.1999992 -76.3499986
http://en.wikipedia.org/wiki/%22Little%20Eva%22%20B-24%20Liberator,-17.3335753324 139.000434998
http://en.wikipedia.org/wiki/%22M%22%20Circle,38.9876 -76.94
http://en.wikipedia.org/wiki/%22MATI%22%20%E2%80%93%20Moscow%20State%20Aviation%20Technological%20University,55.739178 37.409324
http://en.wikipedia.org/wiki/%27Adan%20Governorate,12.8999964 44.916663
http://en.wikipedia.org/wiki/%27Ain%20Ghazal,31.583333 36.333333
http://en.wikipedia.org/wiki/%27Aliabad,36.5222 68.8992
http://en.wikipedia.org/wiki/%27Amran%20Governorate,15.646 43.929
http://en.wikipedia.org/wiki/%27Ara,32.5034129863 35.0735397058
http://en.wikipedia.org/wiki/%27Asir%20Province,19.0 43.0
http://en.wikipedia.org/wiki/%27Ata,-22.149 -176.178
http://en.wikipedia.org/wiki/%27Ene%27io%20Botanical%20Garden,-18.6414 -173.9137
http://en.wikipedia.org/wiki/%27Eua%20Airport,-21.372165178 -174.955496178
http://en.wikipedia.org/wiki/%27Ksan,55.249999 -127.666664
http://en.wikipedia.org/wiki/%27O%27ua,-20.038 -174.679
http://en.wikipedia.org/wiki/%27Opaeka%27a%20Falls,22.0522222 -159.3641667
http://en.wikipedia.org/wiki/%27Uyayna,24.903163054 46.388165114
http://en.wikipedia.org/wiki/%27s%20Gravenmoer,51.65499738 4.93749625
http://en.wikipedia.org/wiki/%27s-Gravenambacht,51.886329788 4.40916503
http://en.wikipedia.org/wiki/%27s-Gravendeel,51.7833302 4.6166642
http://en.wikipedia.org/wiki/%27s-Gravenhoek,51.587997648 3.77416357
http://en.wikipedia.org/wiki/%27s-Gravesloot,52.090332972 4.87416317
http://en.wikipedia.org/wiki/%27s-Heer%20Arendskerke,51.487831382 3.81999672
http://en.wikipedia.org/wiki/%27s-Heer%20Hendrikskinderen,51.499998 3.8666632
http://en.wikipedia.org/wiki/%27s-Heerenberg,51.87249651 6.24083237
http://en.wikipedia.org/wiki/%27s-Heerenbroek,52.536831186 6.00749997
http://en.wikipedia.org/wiki/%27s-Hertogenbosch,51.729918 5.306938
http://en.wikipedia.org/wiki/%27t%20Goy,52.0 5.2166658
http://en.wikipedia.org/wiki/%27t%20Haantje%20%28Overijssel%29,52.6166642 6.5999976
http://en.wikipedia.org/wiki/%27t%20Haantje%2C%20North%20Brabant,51.568164394 4.3833318
http://en.wikipedia.org/wiki/%27t%20Harde,52.40916503 5.875163166
http://en.wikipedia.org/wiki/%27t%20Nopeind,52.416665 4.9666628
http://en.wikipedia.org/wiki/%27t%20Veld,52.7333304 4.8499966
http://en.wikipedia.org/wiki/%27t%20Waar,53.222165778 6.95082953
http://en.wikipedia.org/wiki/%27t%20Woudt,51.990662704 4.289498842
http://en.wikipedia.org/wiki/%27t%20Zand%20%28Hattem%29,52.49249803 6.01749993
http://en.wikipedia.org/wiki/%27t%20Zand%20%28Nijmegen%29,51.872663176 5.86916319
http://en.wikipedia.org/wiki/%27t%20Zand%2C%20Alphen-Chaam,51.490331372 4.95416285
http://en.wikipedia.org/wiki/%27t%20Zand%2C%20Werkendam,51.808496766 4.95749617
http://en.wikipedia.org/wiki/%27t%20Zandt,53.3666652 6.77333024
http://en.wikipedia.org/wiki/%27%C5%8C%27%C5%8Dkala%2C%20Hawaii,20.017166598 -155.285665524
http://en.wikipedia.org/wiki/%28Here%20I%20Stand%29%20In%20The%20Spirit%20of%20Paul%20Robeson,38.9389695774 -77.021994912
http://en.wikipedia.org/wiki/%28SCENE%29%20Metrospace,42.731981 -84.482153
http://en.wikipedia.org/wiki/%2B15,51.0416743333 -114.068031561
http://en.wikipedia.org/wiki/-up,-34.236332388 118.219332456
http://en.wikipedia.org/wiki///Khara%20Hais%20Local%20Municipality,-28.4499982 21.249999
http://en.wikipedia.org/wiki/007%20Stage,51.5499978 -0.534331196
http://en.wikipedia.org/wiki/1%20Anne%20Marg,25.37 85.13
http://en.wikipedia.org/wiki/1%20Bligh%20Street,-33.858996564 151.206332508
http://en.wikipedia.org/wiki/1%20Cabot%20Square,51.503497986 -0.020999916
http://en.wikipedia.org/wiki/1%20Decembrie,44.2833322 26.0666664
http://en.wikipedia.org/wiki/1%20Decembrie%201918%20University%2C%20Alba%20Iulia,46.069 23.57244
http://en.wikipedia.org/wiki/1%20Decembrie%201918%20metro%20station,44.4110583 26.1732389
http://en.wikipedia.org/wiki/1%20Dubai,24.9822 55.4029
http://en.wikipedia.org/wiki/1%20Furnival%20Square,53.377 -1.47
http://en.wikipedia.org/wiki/1%20Ilica%20Street,45.807663436 15.972329444
http://en.wikipedia.org/wiki/1%20Journal%20Square,40.7343 -74.0636
http://en.wikipedia.org/wiki/1%20Lincoln%20Plaza,40.771518 -73.980829
http://en.wikipedia.org/wiki/1%20Mai%20metro%20station,44.4693897891 26.050333132
http://en.wikipedia.org/wiki/1%20New%20York%20Place,40.7126 -74.0077
http://en.wikipedia.org/wiki/1%20New%20York%20Plaza,40.70214 -74.01175
http://en.wikipedia.org/wiki/1%20Pace%20Plaza,40.7114 -74.0051
http://en.wikipedia.org/wiki/1%20Park%20Avenue,5.25 55.3
